Name,Employees,Website,Turnover,Reg Number,EBITDA
Rozone Limited,19,Rozone.co.uk,,00309780,
J.C. Snell Limited,9,Snellandrobins.co.uk,,00444932,
Bom Group Limited,21,Bomitsolutions.co.uk,,00615993,
Vanti Ltd,35,Tfg.com,"£5,977,000 ",00650255,"£359,000 "
Technology Means Business Limited,31,Tmb.co.uk,,00741072,
Timeslice Limited,21,Timeslice.co.uk,,00745445,
Wave 9 Managed Services Limited,15,Wave9.co.uk,,00755965,
K.Lowther & Co.Limited,6,Lowthers.com,,00805206,
Barkers International Communications Limited,11,Barkersinternational.com,,00826661,
F.R. Bradley (Feltham) Limited,13,Frozenfishdirect.co.uk,,00834289,
Specialist Computer Services Limited,11,Scc.com,"£52,000 ",00893138,"(£28,000)"
Multon Process Technology Limited,11,Multon.co.uk,,00897250,
Economic Data Services Limited,8,Solvitt.co.uk,,00928051,
Sequel Group Limited,28,Sequelgroup.co.uk,,00934848,
Connaught Lithoservices Limited,10,Connaught.net,,00938520,
Carr Royd Parks Limited,13,Sunsetpark.co.uk,,01019419,
Hamilton Rentals Limited,54,Hamilton.co.uk,"£8,100,578 ",01041096,"£1,294,131 "
Techex Limited,33,Techex.co.uk,"£14,405,000 ",01053218,"£6,524,000 "
Synergy Logistics Limited,67,Snapfulfil.com,"£7,570,460 ",01077180,"£463,816 "
Newspress Limited,25,Newspress.co.uk,,01106594,
Nec (UK) Ltd,18,Nec-display-solutions.com,"£1,615,000 ",01118976,"£571,000 "
Lexcom Information Systems Ltd,7,Lex-com.net,,01123165,
Ecr Solutions Limited,25,Ecr.co.uk,,01160682,
Concentration Heat And Momentum Limited,21,Cham.co.uk,,01164319,
LDRA Limited,41,Ldra.com,,01206888,
Redsky It (Hemel) Limited,70,Redskyit.com,"£7,774,000 ",01223977,"£1,476,000 "
Ev Cargo Technology UK Limited,51,Adjuno.com,"£6,010,755 ",01239655,"£214,250 "
Scan-Optics Limited,7,Scanoptics.com,,01240799,
